Campaign,Date,City,Latitude,Longitude,Channel,Device,Ad,Impressions,CPM,CTR,Clicks,RPC,CPC,Ad Spend,Conversions,Conversion Rate,Revenue,RPCon,Likes,Shares,Comments,Engagement Rate,Profit,ROAS,ROI
Spring ,3/1/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1111,25.74,0.02,21,2.52,1.39,28.60,1,4.9,51.84,51.84,45,4,3,4.7,23.24,1.81,81.3
Spring ,3/2/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1297,7.97,0.01,14,2.83,0.72,10.33,2,14.0,40.32,20.16,14,17,11,3.2,29.99,3.90,290.2
Spring ,3/3/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1264,5.01,0.01,17,3.22,0.38,6.33,4,24.0,53.76,13.44,24,1,8,2.6,47.43,8.49,748.8
Spring ,3/4/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,838,9.14,0.02,13,1.95,0.58,7.66,3,22.5,25.92,8.64,59,10,6,9.0,18.26,3.38,238.4
Spring ,3/5/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1599,11.92,0.01,23,4.70,0.83,19.07,2,8.7,108.19,54.10,44,17,2,3.9,89.13,5.67,467.5
Spring ,3/6/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,894,5.96,0.02,17,1.18,0.31,5.33,4,23.3,20.16,5.04,57,3,3,7.1,14.83,3.78,278.4
Spring ,3/7/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1541,22.48,0.01,23,0.64,1.53,34.64,0,0.0,14.40,0.00,44,0,3,3.1,-20.24,0.42,-58.4
Spring ,3/8/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,995,4.31,0.01,14,1.61,0.30,4.28,0,0.0,23.04,0.00,9,9,6,2.4,18.76,5.38,437.9
Spring ,3/9/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1337,2.10,0.01,16,0.82,0.17,2.81,2,12.3,13.44,6.72,33,12,0,3.4,10.63,4.78,377.8
Spring ,3/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1002,7.14,0.01,14,0.00,0.53,7.15,4,29.6,0.00,0.00,9,17,0,2.6,-7.15,0.00,-100.0
Spring ,3/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1141,10.27,0.01,13,4.42,0.89,11.72,4,30.2,58.46,14.62,37,4,9,4.4,46.74,4.99,398.7
Spring ,3/12/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1304,17.31,0.01,19,1.09,1.16,22.57,4,20.6,21.12,5.28,29,6,11,3.5,-1.45,0.94,-6.4
Spring ,3/13/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,878,2.99,0.01,9,17.80,0.29,2.63,5,54.7,162.62,32.52,20,2,9,3.5,160.00,61.92,6091.9
Spring ,3/14/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1212,18.03,0.01,16,7.99,1.35,21.85,5,30.8,129.70,25.94,39,13,6,4.8,107.85,5.94,493.6
Spring ,3/15/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,962,5.81,0.02,15,7.85,0.38,5.59,6,40.8,115.58,19.26,9,6,2,1.7,110.00,20.69,1968.9
